method name, index construction time (s), index size (MB),,,,,,,
BFS,1.06,81.68,,,,,,,
LandmarkedIndex23(oE)-k=2185-b=20,5_887.34,33_930.80,,,,,,,
,,,,,,,,,
,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex23(oE)-k=2185-b=20_queryset-0,LandmarkedIndex23(oE)-k=2185-b=20_queryset-1,LandmarkedIndex23(oE)-k=2185-b=20_queryset-2,,,,
0.0100033283,0.0192117691,0.0045159658,7.94728E-006,0.000014623,1.502037E-005,,1258.7109451284,1313.8049032346,300.6560936914
0.0119663874,0.0364406904,0.0261707306,5.00679E-006,1.366933E-005,4.21206E-006,,2390.0318227847,2665.8724568066,6213.285325945
0.0328677495,0.0490717093,0.0071547031,7.3115E-006,0.000014623,1.700719E-005,,4495.3497271422,3355.7894624906,420.6869647484
0.0474959215,0.0625160535,0.0288232962,0.000007391,5.00679E-006,4.29153E-006,,6426.2094758875,12486.2543685675,6716.3217360708
0.0303709507,0.0498345693,0.00451835,4.21206E-006,1.335144E-005,1.494089E-005,,7210.4743735844,3732.5239292541,302.4150475641
0.0563659668,0.0509529114,0.0061460336,7.94728E-006,1.533826E-005,0.000015974,,7092.4853270553,3321.9486023839,384.7513590801
0.0500470002,0.0494406223,0.0083386103,7.07308E-006,1.406669E-005,4.60942E-006,,7075.701142925,3514.7303537648,1809.0367833697
0.0269810359,0.0443217754,0.0022826989,7.94728E-006,1.366933E-005,4.68889E-006,,3395.0025492999,3242.4248613502,486.8314121253
0.0099960168,0.0153609912,0.0039749146,7.94728E-006,1.470247E-005,0.000004371,,1257.7909448264,1044.7898319126,909.3833333333
0.0098409653,0.0227953593,0.0104762713,6.99361E-006,4.68889E-006,4.29153E-006,,1407.1366962127,4861.5683647942,2441.1506642153
0.0208950837,0.0335892836,0.0019493103,6.91413E-006,4.68889E-006,0.000004371,,3022.084302725,7163.5895958319,445.9643788607
0.0415887038,0.024840037,0.00182271,8.02675E-006,5.00679E-006,1.63714E-005,,5181.2631251752,4961.2699993409,111.3350128883
0.028182745,0.0307379564,0.0059636434,7.94728E-006,1.470247E-005,1.629193E-005,,3546.2126626972,2090.6661506536,366.0489205392
0.0285923481,0.044611613,0.0093839963,7.70886E-006,1.430511E-005,0.000004371,,3709.0241734835,3118.5788120469,2146.8763029055
0.0281089147,0.029272,0.0084570249,7.3115E-006,1.366933E-005,3.97364E-006,,3844.4798864802,2141.4363388696,2128.2815982324
0.0462352435,0.0237696171,0.0087230206,6.99361E-006,1.398722E-005,4.05311E-006,,6611.069743666,1699.3810835892,2152.1795732166
0.0301959515,0.0393590132,0.0078146458,4.68889E-006,1.366933E-005,4.68889E-006,,6439.8933350964,2879.3666719583,1666.6302173862
0.0451089541,0.0331157049,0.0038253466,8.02675E-006,4.60942E-006,4.29153E-006,,5619.8279639954,7184.3539642732,891.3712871633
0.0282299519,0.049647967,0.0070014,7.94728E-006,4.68889E-006,4.05311E-006,,3552.1526673277,10588.4264762023,1727.4142547328
0.0385994116,0.0509552956,0.0062833627,7.62939E-006,1.438458E-005,1.66893E-005,,5059.3050873006,3542.355463976,376.4904879174
0.0636696021,0.0250593026,0.0164800485,7.62939E-006,1.438458E-005,3.89417E-006,,8345.3070389638,1742.094843228,4231.9797261034
0.0490442912,0.0418672562,0.021138986,5.00679E-006,1.502037E-005,0.000004371,,9795.5558691297,2787.3651687675,4836.1898764585
0.0451173782,0.0558503469,0.0201113224,7.62939E-006,5.00679E-006,4.05311E-006,,5913.6285115848,11154.9209932911,4961.9483310347
0.0626873175,0.0560350418,0.0203179518,7.3115E-006,1.335144E-005,4.29153E-006,,8573.7971045613,4196.9287058175,4734.4308043984
0.0282370249,0.0322149595,0.0189733505,7.94728E-006,1.335144E-005,5.00679E-006,,3553.0426686867,2412.8453155615,3789.5239305024
0.06092302,0.02891771,0.0150136948,7.94728E-006,1.430511E-005,5.00679E-006,,7665.8957580455,2021.4951146828,2998.6667625365
0.0442267259,0.0261680285,0.0196275711,7.3115E-006,1.366933E-005,0.000004371,,6048.9264706285,1914.3607265316,4490.4074811256
0.0286997159,0.0469345252,0.0138615767,7.3115E-006,4.92731E-006,4.05311E-006,,3925.2842686179,9525.3850823269,3419.9853223821
0.0450199445,0.0063443979,0.0233110587,7.94728E-006,1.366933E-005,4.05311E-006,,5664.8242543361,464.1337841723,5751.4004505183
0.0442399184,0.0126712322,0.0408004125,6.91413E-006,0.000004371,4.29153E-006,,6398.4794023254,2898.9321024937,9507.1949840733
0.0453276634,0.0459986528,0.0216103395,7.62939E-006,1.390775E-005,0.000004371,,5941.1910283784,3307.4115345761,4944.0264195836
0.0525436401,0.0555892785,0.0270052751,6.91413E-006,5.00679E-006,4.29153E-006,,7599.4579404784,11102.778133295,6292.6916717348
0.0693633556,0.0381373564,0.0306337674,7.62939E-006,1.366933E-005,4.29153E-006,,9091.5991488179,2789.9945674002,7138.1925420538
0.0628585815,0.068018198,0.020386378,7.3115E-006,1.366933E-005,4.68889E-006,,8597.221027149,4975.9716101667,4347.8046979136
0.0010973612,0.0344997247,0.0200952689,6.99361E-006,1.366933E-005,3.89417E-006,,156.909127046,2523.878251531,5160.3471034906
0.0339129766,0.0475959778,0.012871027,6.91413E-006,4.05311E-006,5.32468E-006,,4904.8798012187,11743.0757566412,2417.2395317653
0.046314319,0.0678400199,0.0196487109,6.67572E-006,1.430511E-005,4.29153E-006,,6937.7264130311,4742.3626843834,4578.4861995605
0.0282283624,0.0205964247,0.0127603213,7.94728E-006,5.00679E-006,4.29153E-006,,3551.9526680827,4113.6985433781,2973.3734332511
0.0448393822,0.0379285812,0.0281260014,7.62939E-006,0.000004371,0.000004371,,5877.1909903675,8677.3235483871,6434.6834477236
0.0319906871,0.0580883821,0.017604351,8.02675E-006,1.303354E-005,3.89417E-006,,3985.5093344131,4456.838439902,4520.6940220894
0.0773797035,0.0334100723,0.0372040272,6.99361E-006,1.335144E-005,4.29153E-006,,11064.3435250178,2502.3572228913,8669.1756017085
0.0069146951,0.0609430472,0.0319546064,5.64257E-006,5.00679E-006,4.05311E-006,,1225.4513634745,12172.0797556918,7883.9721522485
0.0079919497,0.0658343633,0.037211895,5.96046E-006,1.358985E-005,4.68889E-006,,1340.8276726964,4844.3774802518,7936.184252563
0.0079530875,0.0624767145,0.0318416754,5.96046E-006,1.366933E-005,4.29153E-006,,1334.307667529,4570.5762060028,7419.6557964176
0.0092710654,0.0562976996,0.0321469307,5.96046E-006,1.303354E-005,0.000004371,,1555.4278344289,4319.4481015902,7354.5940722947
0.0065799554,0.0494717757,0.037273407,5.64257E-006,1.398722E-005,0.000004371,,1166.1273869886,3536.9269726222,8527.4323907573
0.0365396341,0.0468533039,0.0361433029,1.629193E-005,1.430511E-005,4.29153E-006,,2242.805736337,3275.2844193439,8422.0086798881
0.0100249449,0.0622486273,0.0268120766,1.263618E-005,5.00679E-006,5.00679E-006,,793.3524957701,12432.8416690135,5355.1430277683
0.0187029839,0.0624493758,0.018383344,0.000014623,4.68889E-006,4.60942E-006,,1279.0114101074,13318.5840955962,3988.2119681001
0.0167310238,0.0498007139,0.0203936895,1.565615E-005,0.000013272,4.05311E-006,,1068.6550512099,3752.3254929943,5031.6150980358
0.0018440088,0.0421763261,0.0193733374,0.000014623,1.366933E-005,5.32468E-006,,126.1033139575,3085.4713515586,3638.4040768647
0.0526510874,0.0103925864,0.0127533277,1.470247E-005,5.00679E-006,4.05311E-006,,3581.1049055023,2075.6984794649,3146.5535551712
0.0232169628,0.0727006594,0.0382057031,0.000013272,5.00679E-006,4.68889E-006,,1749.3243507364,14520.413164922,8148.1337992574
0.0421047211,0.0413046678,0.018584013,1.470247E-005,4.60942E-006,4.29153E-006,,2863.7855448778,8960.9251901541,4330.3933515553
0.0097165902,0.0557925701,0.0165009499,1.565615E-005,1.358985E-005,0.000004371,,620.6244983601,4105.4588615768,3775.0971974377
0.0186349551,0.0649133523,0.0181840261,1.533826E-005,1.398722E-005,0.000004371,,1214.9327942022,4640.9045063994,4160.1523861817
0.0018543402,0.0338169734,0.0312459469,1.533826E-005,1.430511E-005,4.29153E-006,,120.8963878563,2363.9785615071,7280.84083765
0.0018566449,0.0412313143,0.0209392707,1.398722E-005,5.00679E-006,3.97364E-006,,132.7386671547,8235.0796298627,5269.5439571778
0.0120124022,0.0411415895,0.0218292872,1.438458E-005,0.000004371,4.92731E-006,,835.0888388816,9412.3975017159,4430.264629179
0.034769694,0.0606750647,0.0186435382,0.000004371,4.60942E-006,4.92731E-006,,7954.6314367422,13163.2753621931,3783.7152827811
0.0222526391,0.0594439507,0.0114663442,4.60942E-006,5.00679E-006,5.00679E-006,,4827.6440701867,11872.6670481486,2290.1588023464
0.0244493484,0.0319426854,0.0125933488,4.68889E-006,1.430511E-005,5.32468E-006,,5214.3147823899,2232.9562960369,2365.0902627012
0.0213739872,0.0495637258,0.0152826309,4.68889E-006,1.438458E-005,4.68889E-006,,4558.4322067696,3445.6150808713,3259.3280968417
0.0166689555,0.0386283398,0.0137505531,4.60942E-006,5.00679E-006,4.29153E-006,,3616.2804604484,7715.1907229982,3204.1144137406
0.032506307,0.0290583769,0.033008337,2.137819E-005,1.430511E-005,4.68889E-006,,1520.5359742803,2031.3284511619,7039.6910612107
