DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
(4373,142),7.11,3248,3248,,,6.51,1.7,1.5,,3249,2022,1607,,,5.84,5.71,5.43,,,20591,22923,23914
(4206,150),7.21,3276,3276,,,6.54,1.73,1.5,,3251,2056,1610,,,5.84,5.72,5.44,,,20595,22923,23914
(670,165),5.71,3265,3265,,,6.59,1.79,1.52,,3252,2060,1611,,,5.84,5.72,5.45,,,20595,22923,23917
(1040,153),8.13,3193,3193,,,6.72,1.79,1.52,,3252,2086,1618,,,5.85,5.78,5.45,,,20595,22923,23917
(2423,184),7.47,3169,3169,,,6.76,1.8,1.52,,3258,2119,1623,,,5.86,5.8,5.46,,,20635,22930,23917
(652,202),6.93,3182,3182,,,6.77,1.81,1.52,,3260,2119,1624,,,5.87,5.81,5.47,,,20635,22930,23925
(2956,163),8.3,3263,3263,,,6.79,1.81,1.54,,3262,2120,1628,,,5.88,5.82,5.47,,,20635,22930,23925
(2395,163),8.3,3263,3263,,,6.8,1.82,1.56,,3262,2137,1638,,,5.89,5.84,5.49,,,20644,22935,23925
(308,228),5.94,3187,3187,,,6.85,1.87,1.57,,3262,2137,1640,,,5.92,5.84,5.5,,,20644,22944,23925
(3422,172),5.92,3190,3190,,,6.85,1.89,1.6,,3263,2156,1643,,,5.93,5.86,5.51,,,20644,22944,23927
(1466,153),4.08,3194,3194,,,6.9,1.89,1.61,,3263,2156,1644,,,5.96,5.87,5.52,,,20645,22945,23927
(167,177),7.79,3221,3221,,,6.91,1.89,1.61,,3263,2161,1645,,,5.97,5.88,5.54,,,20649,22948,23930
(3849,172),6.29,3191,3191,,,6.93,1.9,1.63,,3263,2173,1648,,,5.99,5.88,5.54,,,20649,22948,23930
(2729,156),7.99,3220,3220,,,6.93,1.92,1.64,,3263,2173,1648,,,5.99,5.88,5.55,,,20650,22951,23935
(2804,195),5.25,3258,3258,,,6.94,1.94,1.66,,3265,2174,1650,,,6,5.89,5.58,,,20655,22951,23935
(2651,169),6.35,3203,3203,,,6.95,1.95,1.67,,3265,2174,1656,,,6,5.89,5.58,,,20659,22951,23935
(2073,240),5.33,3137,3137,,,6.96,1.97,1.69,,3266,2197,1661,,,6.01,5.9,5.59,,,20659,22951,23935
(1684,163),6.1,3263,3263,,,6.99,1.97,1.69,,3266,2233,1662,,,6.02,5.9,5.59,,,20659,22951,23935
(2216,172),5.72,3190,3190,,,6.99,1.97,1.71,,3269,2234,1667,,,6.02,5.9,5.6,,,20659,22956,23935
(2353,197),7.69,3270,3270,,,7,1.97,1.71,,3269,2237,1669,,,6.04,5.91,5.61,,,20659,22967,23935
(2835,225),7.87,3186,3186,,,7,1.97,1.72,,3270,2298,1679,,,6.05,5.93,5.62,,,20662,22971,23935
(2262,232),7.2,3131,3131,,,7,1.98,1.73,,3273,2316,1683,,,6.06,5.94,5.63,,,20662,22971,23957
(2951,225),8.43,3186,3186,,,7.02,2.05,1.73,,3274,2316,1694,,,6.07,5.97,5.64,,,20713,22971,23957
(2651,225),7.2,3185,3185,,,7.03,2.05,1.75,,3276,2318,1706,,,6.08,6,5.65,,,20715,22971,23958
(380,228),5.72,3187,3187,,,7.06,2.06,1.75,,3277,2328,1707,,,6.09,6,5.66,,,20716,22971,23967
(1112,210),7.82,3183,3183,,,7.06,2.07,1.75,,3318,2329,1744,,,6.1,6,5.66,,,20717,22980,23967
(2011,180),5.47,3211,3211,,,7.1,2.08,1.75,,3563,2330,2867,,,6.1,6.01,5.66,,,20717,22982,23970
(2308,212),5.95,3213,3213,,,7.11,2.09,1.75,,3563,2422,2867,,,6.1,6.04,5.66,,,20730,23008,23970
(3065,209),7.3,3201,3201,,,7.11,2.09,1.77,,3563,2423,2868,,,6.13,6.05,5.67,,,20730,23008,23985
(4455,172),7.03,3190,3190,,,7.13,2.1,1.79,,3563,2509,2868,,,6.16,6.06,5.67,,,20731,23008,23985
(3847,202),5.47,3182,3182,,,7.2,2.1,1.8,,3563,2510,2875,,,6.19,6.07,5.7,,,20732,23035,23985
(3730,228),6.99,3189,3189,,,7.2,2.12,1.81,,3564,2538,2875,,,6.22,6.1,5.7,,,20749,23035,23987
(1403,184),6.49,3168,3168,,,7.21,2.12,1.82,,3564,2538,2875,,,6.22,6.1,5.74,,,20821,23035,24004
(3608,198),5.27,3249,3249,,,7.23,2.13,1.83,,3568,2538,2876,,,6.3,6.13,5.77,,,20821,23055,24004
(1308,169),5.04,3201,3201,,,7.24,2.13,1.83,,3568,2539,2884,,,6.31,6.13,5.78,,,20823,23055,24004
(2335,225),6.76,3185,3185,,,7.25,2.14,1.84,,3568,2540,2885,,,6.31,6.14,5.79,,,20827,23055,24009
(3537,149),5.89,3274,3274,,,7.28,2.14,1.84,,3576,2542,2885,,,6.32,6.15,5.79,,,20827,23056,24009
(3823,216),5.64,3153,3153,,,7.3,2.14,1.84,,3576,2598,2885,,,6.33,6.16,5.81,,,20888,23056,24009
(4142,165),5.78,3266,3266,,,7.31,2.15,1.84,,3576,2605,2885,,,6.37,6.2,5.82,,,20888,23120,24017
(780,135),6.54,3318,3318,,,7.31,2.16,1.86,,3576,2696,2887,,,6.39,6.2,5.83,,,20888,23120,24052
(996,180),7.1,3210,3210,,,7.32,2.17,1.86,,3577,2696,2888,,,6.41,6.22,5.83,,,20889,23120,24305
(275,212),5.69,3212,3212,,,7.34,2.17,1.87,,3577,2696,2889,,,6.41,6.25,5.86,,,20890,23127,24305
(1725,156),7.31,3218,3218,,,7.38,2.17,1.87,,3577,2734,2892,,,6.42,6.26,5.86,,,20891,23127,24314
(2794,163),7.42,3263,3263,,,7.42,2.17,1.9,,3593,2736,2896,,,6.43,6.26,5.87,,,21768,23539,24314
(376,232),5.09,3130,3130,,,7.42,2.17,1.91,,3594,2737,2898,,,6.44,6.28,5.87,,,21768,23539,24314
(430,172),7.79,3190,3190,,,7.42,2.19,1.91,,3595,2742,2900,,,6.44,6.29,5.87,,,21768,23539,24314
(2515,154),5.77,3196,3196,,,7.47,2.23,1.93,,3596,2752,2901,,,6.44,6.32,5.88,,,21780,23539,24339
(2411,149),5.43,3277,3277,,,7.49,2.26,1.93,,3596,2802,2901,,,6.45,6.32,5.89,,,21780,23540,24339
(2333,216),4.86,3152,3152,,,7.49,2.27,1.95,,3597,2806,2903,,,6.46,6.32,5.9,,,21820,23612,24339
(3314,210),5.41,3183,3183,,,7.52,2.3,1.96,,3600,2812,2903,,,6.47,6.34,5.91,,,21820,23612,24339
(72,142),7.38,3247,3247,,,7.52,2.31,1.98,,3600,2813,2903,,,6.48,6.34,5.94,,,21820,23612,24342
(498,228),7.24,3187,3187,,,7.54,2.33,2.01,,3600,2846,2909,,,6.49,6.35,5.94,,,21820,23612,24342
(1078,139),6.02,3239,3239,,,7.56,2.34,2.02,,3601,2849,2909,,,6.54,6.37,5.95,,,21821,23616,24342
(3292,226),6.72,3173,3173,,,7.56,2.36,2.04,,3601,2909,2910,,,6.57,6.38,5.96,,,21822,23616,24342
(1296,178),5.89,3213,3213,,,7.65,2.37,2.04,,3601,2909,2911,,,6.6,6.39,5.99,,,21823,23616,24342
(2609,225),6.95,3185,3185,,,7.69,2.38,2.05,,3601,2910,2912,,,6.64,6.4,5.99,,,21834,23616,24342
(4578,177),6.16,3218,3218,,,7.77,2.4,2.06,,3601,2913,2913,,,6.65,6.43,6,,,21834,23616,24344
arr[i]=6,,,,,,,7.77,2.41,2.06,,3602,2918,2914,,,6.66,6.43,6.02,,,21834,23616,24344
(2611,221),7.77,3618,3618,,,7.79,2.42,2.07,,3603,2936,2918,,,6.69,6.45,6.03,,,21834,23619,24344
(1644,207),10.48,3639,3639,,,7.79,2.46,2.07,,3603,2936,2919,,,6.73,6.46,6.06,,,21834,23639,24365
(1421,215),12.3,3673,3673,,,7.82,2.48,2.09,,3603,2936,2919,,,6.83,6.46,6.07,,,21835,23639,24365
(3608,235),9.84,3600,3600,,,7.82,2.49,2.09,,3603,2938,2922,,,6.84,6.47,6.07,,,21875,23639,24365
(2909,189),10.83,3642,3642,,,7.87,2.5,2.1,,3604,2948,2923,,,6.85,6.47,6.09,,,21875,23639,24365
(3652,235),6.59,3600,3600,,,7.88,2.5,2.13,,3604,2948,2925,,,6.85,6.49,6.1,,,21875,23639,24365
(4997,252),11.36,3563,3563,,,7.88,2.51,2.14,,3604,2951,2925,,,6.88,6.51,6.1,,,21875,23639,24366
(658,238),11.46,3568,3568,,,7.95,2.52,2.15,,3604,2958,2925,,,6.9,6.51,6.12,,,21875,23639,24373
(22,221),6.85,3618,3618,,,7.97,2.53,2.18,,3604,2958,2925,,,6.91,6.51,6.13,,,21883,23640,24373
(3655,245),7.52,3642,3642,,,7.99,2.55,2.19,,3605,2959,2926,,,6.93,6.52,6.17,,,21894,23641,24373
(2938,175),7.82,3637,3637,,,8.13,2.55,2.19,,3605,2959,2927,,,6.97,6.52,6.18,,,21894,23641,24373
(1377,189),6.33,3641,3641,,,8.13,2.57,2.24,,3617,2959,2928,,,6.97,6.56,6.2,,,21894,23641,24373
(4426,250),9.98,3577,3577,,,8.2,2.63,2.28,,3617,2960,2928,,,6.97,6.59,6.21,,,21894,23651,24373
